,city,Average spend in GBP
0,Preston,53.36
1,Milton Keynes,49.27
2,Aberdeen,48.8
3,York,48.21
4,Edinburgh,47.84
5,Plymouth,47.2
6,Huddersfield,46.4
7,Birmingham,46.27
8,Bedford,46.26
9,Glasgow,46.17
10,Stockport,45.81
11,Doncastle,45.26
12,Newcastle,44.99
13,Liverpool,44.84
14,Bradford,44.26
15,Wigan,44.08
16,Reading,43.96
17,London,43.3
18,Bolton,43.19
19,Bournemouth,43.06
20,Oldham,42.72
21,Colchester,42.6
22,Northampton,42.5
23,Leeds,42.38
24,Cardiff,42.1
25,Manchester,41.54
26,Stoke-on-Trent,41.42
27,Norwich,41.32
28,Barnsley,41.15
29,Warrington,41.08
30,Middlesborough,39.69
31,Ipswich,38.77
32,Leicester,38.38
33,Newport,37.87
34,Swansea,37.86
35,Lincoln,37.71
36,Derby,37.59
37,Rotherham,36.95
38,Nottingham,36.89
39,Luton,36.46
40,Brighton,36.2
41,Peterborough,36.08
42,Sheffield,35.56
43,Bristol,35.55
44,Wolverhampton,35.21
45,Swindon,34.63
46,Southampton,34.51
47,Hull,32.55
48,Coventry,29.67
49,Walsall,26.74
50,National average,45.1
