,Year,Gross domestic product in billion U.S. dollars
0,2024*,4675.33
1,2023*,4491.38
2,2022*,4322.59
3,2021*,4158.66
4,2020*,3982.24
5,2019*,3863.34
6,2018,3951.34
7,2017,3664.51
8,2016,3468.19
9,2015,3362.24
10,2014,3890.1
11,2013,3753.69
12,2012,3545.95
13,2011,3761.14
14,2010,3423.47
15,2009,3426.67
16,2008,3770.15
17,2007,3444.72
18,2006,3004.95
19,2005,2866.05
20,2004,2822.21
21,2003,2510.04
22,2002,2085.57
23,2001,1951.98
24,2000,1955.28
25,1999,2202.79
26,1998,2246.31
27,1997,2221.4
28,1996,2504.54
29,1995,2593.84
30,1994,2210.83
31,1993,2069.69
32,1992,2127.85
33,1991,1868.52
34,1990,1592.59
35,1989,1252.64
36,1988,1261.83
37,1987,1170.42
38,1986,940.55
39,1985,658.54
40,1984,649.43
