,Year,Gross domestic product in billion U.S. dollars
0,2024*,90.56
1,2023*,87.02
2,2022*,84.05
3,2021*,81.9
4,2020*,78.66
5,2019*,76.61
6,2018,79.28
7,2017,70.6
8,2016,65.48
9,2015,68.92
10,2014,81.08
11,2013,78.78
12,2012,76.62
13,2011,68.02
14,2010,57.05
15,2009,48.39
16,2008,60.91
17,2007,42.09
18,2006,37.22
19,2005,31.08
20,2004,24.76
21,2003,21.63
22,2002,20.14
23,2001,19.45
24,2000,19.51
25,1999,15.59
26,1998,14.0
27,1997,15.84
28,1996,15.28
29,1995,13.8
30,1994,12.92
31,1993,12.49
32,1992,12.45
33,1991,11.34
34,1990,11.69
35,1989,9.37
36,1988,8.39
37,1987,8.63
38,1986,8.23
39,1985,10.4
40,1984,9.36
