,Year,Inflation rate compared to previous year
0,2024*,2%
1,2023*,2%
2,2022*,1.94%
3,2021*,1.83%
4,2020*,1.28%
5,2019*,1.05%
6,2018,0.81%
7,2017,0.24%
8,2016,-0.55%
9,2015,-0.63%
10,2014,0.48%
11,2013,1.51%
12,2012,1.72%
13,2011,3.43%
14,2010,2.71%
15,2009,3.31%
16,2008,4.59%
17,2007,0.53%
18,2006,2.1%
19,2005,1.35%
20,2004,-0.4%
21,2003,0.65%
22,2002,5.69%
23,2001,1.12%
24,2000,1.13%
25,1999,5.19%
26,1998,5.44%
27,1997,9%
28,1996,11.28%
29,1995,10.04%
30,1994,12.34%
31,1993,10.94%
32,1992,11.95%
33,1991,19.01%
34,1990,17.17%
35,1989,20.25%
36,1988,16.23%
37,1987,19.85%
38,1986,48.16%
39,1985,304.58%
40,1984,373.82%
