,Year,GDP in billion international dollars
0,2021*,2417.19
1,2020*,2257.99
2,2019,2361.78
3,2018,2299.75
4,2017,2183.34
5,2016,1994.01
6,2015,1912.68
7,2014,1784.37
8,2013,1665.88
9,2012,1509.02
10,2011,1412.94
11,2010,1245.6
12,2009,1134.93
13,2008,1181.94
14,2007,1149.68
15,2006,1065.98
16,2005,965.99
17,2004,859.38
18,2003,763.24
19,2002,709.53
20,2001,656.28
21,2000,682.91
22,1999,626.39
23,1998,639.14
24,1997,613.06
25,1996,560.48
26,1995,514.36
27,1994,470.0
28,1993,486.73
29,1992,440.08
30,1991,405.97
31,1990,389.09
32,1989,343.28
33,1988,329.5
34,1987,311.66
35,1986,276.42
36,1985,253.38
37,1984,235.58
