,Cause of death,Number of deaths
0,Cancers and neoplasms,143181
1,Circulatory diseases,139706
2,Respiratory diseases,67690
3,Mental & behavioral,31048
4,Digestive diseases,24582
5,Diseases of the nervous system,18584
6,Accidents,17590
7,Other causes,10193
8,Genitourinary diseases,9500
9,"Endocrine, nutritional and metabolic diseases",6497
10,Infections,5937
11,Musculoskeletal system,4180
12,Skin diseases,1659
13,Congenital diseases,1100
14,Blood diseases and immune systems,999
15,"Babies dying before, during or after birth",195
16,Pregnancy and childbirth,44
