,Month,Market share
0,Dec 20,7.77%
1,Nov 20,8.55%
2,Oct 20,7.68%
3,Sep 20,6.47%
4,Aug 20,6.14%
5,Jul 20,6.54%
6,Jun 20,7.32%
7,May 20,7.27%
8,Apr 20,4.88%
9,Mar 20,6.88%
10,Feb 20,8.36%
11,Jan 20,6.75%
12,Dec 19,9.47%
13,Nov 19,7.43%
14,Oct 19,8.44%
15,Sep 19,8.11%
16,Aug 19,5.24%
17,Jul 19,5.85%
18,Jun 19,8.94%
19,May 19,6.76%
20,Apr 19,6.75%
21,Mar 19,6.62%
22,Feb 19,8.38%
23,Jan 19,5.93%
24,Dec 18,8.05%
25,Nov 18,8.08%
26,Oct 18,7.37%
27,Sep 18,8.25%
28,Aug 18,6.37%
29,Jul 18,6.09%
30,Jun 18,9.78%
31,May 18,6.72%
32,Apr 18,5.41%
33,Mar 18,6.68%
34,Feb 18,8.35%
35,Jan 18,5.5%
36,Dec 17,8.84%
37,Nov 17,7.82%
38,Oct 17,6.99%
39,Sep 17,7.38%
40,Aug 17,6.03%
41,Jul 17,5.61%
42,Jun 17,7.87%
43,May 17,6.83%
44,Apr 17,7.42%
45,Mar 17,6.2%
46,Feb 17,7.36%
47,Jan 17,4.86%
48,Dec 16,8.46%
49,Nov 16,8.33%
50,Oct 16,7.52%
51,Sep 16,6.94%
52,Aug 16,5.82%
53,Jul 16,5.43%
54,Jun 16,7.32%
55,May 16,7.58%
56,Apr 16,5.79%
57,Mar 16,6.26%
58,Feb 16,6.91%
59,Jan 16,4.87%
60,Dec 15,9.54%
61,Nov 15,6.69%
62,Oct 15,7.85%
63,Sep 15,6.42%
64,Aug 15,6.13%
65,Jul 15,5.26%
66,Jun 15,6.69%
67,May 15,6.14%
68,Apr 15,5.86%
69,Mar 15,5.46%
70,Feb 15,6.62%
71,Jan 15,4.86%
