,State,"Robbery rate per 100,000 inhabitants"
0,District of Columbia,343.8
1,Maryland,160.8
2,California,137.3
3,New Mexico,135.1
4,Nevada,127.3
5,Alaska,121.5
6,Illinois,111.5
7,Tennessee,106.2
8,Texas,98.4
9,Louisiana,98.0
10,New York,93.1
11,Arizona,91.0
12,Delaware,89.5
13,Indiana,88.7
14,United States,86.2
15,Missouri,84.8
16,Alabama,83.4
17,North Carolina,81.1
18,Florida,79.3
19,Georgia,78.7
20,Ohio,78.6
21,Pennsylvania,76.9
22,Washington,73.9
23,New Jersey,71.4
24,Oklahoma,70.8
25,South Carolina,69.9
26,Colorado,66.7
27,Hawaii,66.6
28,Connecticut,61.4
29,Oregon,60.8
30,Massachusetts,60.0
31,Wisconsin,60.0
32,Michigan,56.6
33,Kentucky,55.0
34,Mississippi,53.4
35,Kansas,53.0
36,Arkansas,52.9
37,Minnesota,52.5
38,Rhode Island,42.9
39,Virginia,42.3
40,Nebraska,39.2
41,Utah,39.1
42,West Virginia,31.7
43,South Dakota,29.7
44,Iowa,29.5
45,New Hampshire,26.5
46,Montana,25.3
47,North Dakota,20.8
48,Wyoming,17.3
49,Maine,17.0
50,Idaho,11.4
51,Vermont,11.2
