,Online Radio Company,Number of average active sessions
0,Pandora Corporate,2210651
1,iHeartRadio,423158
2,NPR Member Stations*,85197
3,RADIO.COM**,83705
4,Cumulus Streaming Network,61024
5,Beasley Broadcasting Corporate,22437
6,Univision,20664
7,AccuRadio,18037
8,Hubbard Broadcasting,17356
9,Salem Communications,14207
10,EMF Corporate,13489
11,New York Public Radio,13438
12,Urban One,11679
13,ESPN Radio Corporate,11268
14,Bonneville Corporate,11193
15,Emmis Communications,8657
16,Classical KUSC/KDFC,6454
17,Saga Communications,6009
18,Prisa Radio,5568
19,Midwest Communications,5432
