,Month,Number of available apps
0,Sep '20,3040000
1,Jun '20,2960000
2,Mar '20,2870000
3,Dec '19,2800000
4,Sep '19,2800000
5,Jun '19,2700000
6,Mar '19,2600000
7,Dec '18,2600000
8,Sep '18,2600000
9,Jun '18,3300000
10,Mar '18,3600000
11,Dec '17,3500000
12,Sep '17,3300000
13,Jun '17,3000000
14,Mar '17,2800000
15,Dec '16,2600000
16,Sep '16,2400000
17,Feb '16,2000000
18,Nov '15,1800000
19,Jul '15,1600000
20,Feb '15,1400000
21,Jul '14,1300000
22,Jul '13,1000000
23,Apr '13,850000
24,Oct '12,700000
25,Sep '12,675000
26,Jun '12,600000
27,May '12,500000
28,Feb '12,450000
29,Dec '11,400000
30,Aug '11,300000
31,Jul '11,250000
32,Apr '11,200000
33,Oct '10,100000
34,Jul '10,70000
35,Apr '10,38000
36,Mar '10,30000
37,Dec '09,16000
