,Month,Number of days
0,Dec '19,17.6
1,Nov '91,17.5
2,Oct '19,17.4
3,Sep '19,15.4
4,Aug '19,15.7
5,Jul '19,11.0
6,Jun '19,14.2
7,May '19,10.8
8,Apr '19,8.0
9,Mar '19,16.2
10,Feb '19,10.5
11,Jan '19,11.0
12,Dec '18,15.9
13,Nov '18,14.7
14,Oct '18,11.9
15,Sep '18,12.7
16,Aug '18,13.2
17,Jul '18,7.5
18,Jun '18,5.0
19,May '18,7.9
20,Apr '18,13.5
21,Mar '18,15.5
22,Feb '18,11.6
23,Jan '18,18.0
24,Dec '17,16.9
25,Nov '17,15.5
26,Oct '17,13.9
27,Sep '17,17.7
28,Aug '17,14.5
29,Jul '17,14.7
30,Jun '17,12.9
31,May '17,9.7
32,Apr '17,7.4
33,Mar '17,14.6
34,Feb '17,13.9
35,Jan '17,12.5
36,Dec '16,11.3
37,Nov '16,13.0
38,Oct '16,8.5
39,Sep '16,13.6
40,Aug '16,11.5
41,Jul '16,13.0
42,Jun '16,14.3
43,May '16,9.6
44,Apr '16,15.2
45,Mar '16,12.0
46,Feb '16,14.0
47,Jan '16,20.6
48,Dec '15,22.3
49,Nov '15,20.8
50,Oct '15,10.3
51,Sep '15,8.5
52,Aug '15,14.2
53,Jul '15,15.9
54,Jun '15,9.2
55,May '15,15.4
56,Apr '15,8.9
57,Mar '15,13.0
58,Feb '15,11.3
59,Jan '15,18.8
60,Dec '14,15.7
61,Nov '14,16.2
62,Oct '14,17.9
63,Sep '14,4.9
64,Aug '14,16.6
65,Jul '14,10.1
66,Jun '14,9.4
67,May '14,15.2
68,Apr '14,11.2
69,Mar '14,12.5
70,Feb '14,20.1
71,Jan '14,23.4
