,State,Number of residents per square mile
0,District of Columbia,11569.7
1,New Jersey,1207.8
2,Rhode Island,1024.5
3,Puerto Rico,932.7
4,Massachusetts,883.5
5,Connecticut,736.6
6,Maryland,622.9
7,Delaware,499.6
8,New York,412.8
9,Florida,400.7
10,Ohio,286.1
11,Pennsylvania,286.1
12,California,253.7
13,Illinois,228.2
14,Hawaii,220.3
15,Virginia,216.1
16,North Carolina,215.7
17,Indiana,187.9
18,Georgia,184.6
19,Michigan,176.7
20,South Carolina,171.2
21,Tennessee,165.6
22,New Hampshire,151.9
23,Washington,114.6
24,Kentucky,113.1
25,Texas,111.0
26,Louisiana,107.6
27,Wisconsin,107.5
28,Alabama,96.8
29,United States,92.9
30,Missouri,89.3
31,West Virginia,74.6
32,Minnesota,70.8
33,Vermont,67.7
34,Arizona,64.1
35,Mississippi,63.4
36,Arkansas,58.0
37,Oklahoma,57.7
38,Iowa,56.5
39,Colorado,55.6
40,Oregon,43.9
41,Maine,43.6
42,Utah,39.0
43,Kansas,35.6
44,Nevada,28.1
45,Nebraska,25.2
46,Idaho,21.6
47,New Mexico,17.3
48,South Dakota,11.7
49,North Dakota,11.0
50,Montana,7.3
51,Wyoming,6.0
52,Alaska,1.3
