,Brand/ segment,Sales in million U.S. dollars
0,Gillete Fusion/ cartridges,232.2
1,Philips Norelco/ electric shaver groomer,224.8
2,Gillette Mach3/ cartridges,221.8
3,Degree Men's/ deodorant,194.6
4,Gillette Fusion ProGlide/ cartridges,166.4
5,Old Spice Red Zone/ toiletries and grooming,137.0
6,Just for Men's/ hair coloring,127.3
7,Axe/ liquid body wash,124.6
8,Old Spice High Endurance/ deodorant,124.4
9,Axe Dry/ deodorants,90.7
10,Gillette Fusion ProGlide Power / Cartridges,86.8
11,Dove Men+Care/ liquid body wash,86.7
12,Edge/ shaving cream,79.5
13,Edge/ toiletries and grooming,78.7
14,Old Spice Red Zone/ deodorants,76.1
15,Gillette Fusion Power/ cartridges,75.8
16,Gillette Custom Plus/ disposables,75.5
17,Old Spice/ toiletries and grooming,74.3
18,Gillette Mach3 Turbo/ cartridges,68.7
19,Dove Men+Care/ deodorant,67.3
