,Country,Index points
0,Iceland,95
1,Estonia,94
2,Canada,87
3,Germany,80
4,Australia,77
5,United States,77
6,United Kingdom,77
7,Armenia,76
8,France,76
9,Italy,75
10,Georgia,75
11,Japan,73
12,South Africa,72
13,Hungary,72
14,Argentina,72
15,Kenya,68
16,Colombia,67
17,Philippines,66
18,Tunisia,64
19,Brazil,64
20,Angola,64
21,Nigeria,64
22,South Korea,64
23,Ecuador,61
24,Kyrgyzstan,61
25,Mexico,60
26,Zambia,58
27,Malawi,57
28,Malaysia,57
29,Uganda,56
30,Singapore,56
31,Ukraine,56
32,India,55
33,Morocco,54
34,Lebanon,52
35,Indonesia,51
36,Sri Lanka,49
37,Libya,49
38,The Gambia,48
39,Jordan,47
40,Bangladesh,44
41,Cambodia,43
42,Zimbabwe,42
43,Rwanda,41
44,Azerbaijan,39
45,Turkey,37
46,Myanmar,36
47,Belarus,35
48,Thailand,35
49,Kazakhstan,32
50,Russia,31
51,Venezuela,30
52,Bahrain,29
53,Ethiopia,28
54,United Arab Emirates,28
55,Pakistan,26
56,Egypt,26
57,Uzbekistan,26
58,Saudi Arabia,25
59,Sudan,25
60,Vietnam,24
61,Cuba,22
62,Syria,17
63,Iran,15
64,China,10
