,Year,Number of people
0,11/10,31
1,10/10,31
2,09/10,28
3,08/10,31
4,07/10,32
5,06/10,37
6,05/10,46
7,04/10,46
8,03/10,49
9,02/10,51
10,01/10,50
11,30/09,55
12,29/09,60
13,28/09,62
14,27/09,65
15,26/09,68
16,25/09,71
17,24/09,81
18,23/09,89
19,22/09,100
20,21/09,107
21,20/09,109
22,19/09,106
23,18/09,108
24,17/09,117
25,16/09,126
26,15/09,139
27,14/09,141
28,13/09,137
29,12/09,151
30,11/09,162
31,10/09,195
32,09/09,221
33,08/09,264
34,07/09,295
35,06/09,311
36,05/09,327
37,04/09,357
38,03/09,391
39,02/09,432
40,01/09,450
41,31/08,481
42,30/08,501
43,29/08,510
44,28/08,543
45,27/08,558
46,26/08,603
47,25/08,644
48,24/08,659
49,23/08,604
50,22/08,631
51,21/08,647
52,20/08,642
53,19/08,694
54,18/08,682
55,17/08,674
56,16/08,680
57,15/08,681
58,14/08,679
59,13/08,681
60,12/08,685
61,11/08,673
62,10/08,664
63,09/08,658
64,08/08,659
65,07/08,632
66,06/08,600
67,05/08,538
68,04/08,483
69,03/08,439
70,02/08,408
71,01/08,401
72,31/07,366
73,30/07,330
74,29/07,323
75,28/07,275
76,"27/07""",259
77,26/07,241
78,25/07,239
79,24/07,217
80,23/07,211
81,22/07,214
82,21/07,183
83,20/07,156
84,19/07,135
85,18/07,116
86,17/07,126
87,16/07,114
88,15/07,111
89,14/07,90
90,13/07,92
91,12/07,67
92,11/07,55
93,10/07,54
94,09/07,45
95,08/07,46
96,07/07,39
97,06/07,34
98,05/07,30
99,04/07,29
100,03/07,27
101,02/07,24
102,01/07,18
103,30/06,14
104,29/06,15
105,28/06,11
106,27/06,12
107,26/06,12
108,25/06,16
109,24/06,16
110,23/06,19
111,22/06,16
112,21/06,15
113,20/06,17
114,19/06,15
115,18/06,14
116,17/06,16
117,16/06,17
118,15/06,17
119,14/06,16
120,13/06,16
121,12/06,17
122,11/06,18
123,10/06,20
124,09/06,19
125,08/06,19
126,07/06,18
127,06/06,21
128,05/06,21
129,04/06,23
130,03/06,25
131,02/06,26
132,01/06,20
133,31/05,21
134,30/05,22
135,29/05,23
136,28/05,27
137,27/05,30
138,26/05,30
139,25/05,31
140,24/05,33
141,23/05,35
142,22/05,39
143,21/05,41
144,20/05,43
145,19/05,47
146,18/05,45
147,17/05,50
148,16/05,49
149,15/05,46
150,14/05,51
151,13/05,50
152,12/05,47
153,11/05,49
154,10/05,43
155,09/05,51
156,08/05,56
157,07/05,58
158,06/05,62
159,05/05,66
160,04/05,70
161,03/05,75
162,02/05,79
163,01/05,83
164,30/04,89
165,29/04,93
166,28/04,109
167,27/04,113
168,26/04,115
169,25/04,129
170,24/04,138
171,23/04,152
172,22/04,162
173,21/04,167
174,20/04,170
175,19/04,177
176,18/04,184
177,17/04,192
178,16/04,201
179,15/04,214
180,14/04,230
181,13/04,227
182,12/04,239
183,11/04,240
184,10/04,236
185,09/04,262
186,08/04,263
187,07/04,305
