,Industry,Real value added in billion chained (2012) U.S. dollars
0,Manufacturing,36.19
1,Government and government enterprises,32.35
2,"Finance, insurance, real estate, rental, and leasing",30.03
3,Professional and business services,21.21
4,"Educational services, health care, and social assistance",16.93
5,Retail trade,14.56
6,Wholesale trade,11.63
7,Construction,6.42
8,"Arts, entertainment, recreation, accommodation, and food services",5.63
9,Transportation and warehousing,5.44
10,Utilities,5.35
11,Information,5.3
12,"Mining, quarrying, and oil and gas extraction",2.84
13,"Agriculture, forestry, fishing, and hunting",2.62
