,Response,Share of respondents
0,E-mail,87%
1,Online banking,66%
2,Social media,60%
3,Access news/current events,59%
4,General browsing/surfing,47%
5,Instant messaging,47%
6,Shopping,46%
7,Product research,39%
8,"Watching movies, TV, videos, etc",38%
9,Looking for information related to hobbies/interests,35%
10,Travel research,32%
11,Listening to music/radio/podcasts,32%
12,Telephone/video chat,26%
13,Looking for health/medical information,25%
14,Research for your job or business,24%
15,Gaming,22%
16,"Looking for dining options/restaurant reviews, etc.",21%
17,Downloading,17%
18,Editing/sharing photos,15%
19,Online courses/training /education,15%
20,Job hunting,10%
21,House/apartment hunting,9%
22,Selling products or services,9%
23,Research for school,6%
24,Dating/meeting people,5%
25,Creating content,5%
26,Other,2%
