,city,Population in millions
0,Istanbul (Turkey),15.19
1,Moscow (Russia),12.54
2,Paris (France),11.02
3,London (UK),9.3
4,Madrid (Spain),6.62
5,Barcelona (Spain),5.59
6,Saint Petersburg (Russia),5.47
7,Rome (Italy),4.26
8,Berlin (Germany),3.56
9,Athens (Greece),3.15
10,Milan (Italy),3.14
11,Kiev (Ukraine),2.99
12,Lisbon (Portugal),2.96
13,Manchester (UK),2.73
14,Birmingham (UK),2.61
15,Naples (Italy),2.19
16,Brussels (Belgium),2.08
17,Minsk (Belarus),2.03
18,Vienna (Austria),1.93
19,Leeds (UK),1.89
20,Bucharest (Romania),1.8
21,Turin (Italy),1.79
22,Hamburg (Germany),1.79
23,Warsaw (Poland),1.78
24,Budapest (Hungary),1.77
25,Lyon (France),1.72
26,Glasgow (UK),1.67
27,Stockholm (Sweden),1.63
28,Marseille (France),1.61
29,Munich (Germany),1.54
30,Kharkiv (Ukraine),1.43
31,Belgrade (Serbia),1.4
32,Zurich (Switzerland),1.4
33,Copenhagen (Denmark),1.35
34,Porto (Portugal),1.31
35,Prague (Czechia),1.31
36,Helsinki (Finland),1.31
37,Sofia (Bulgaria),1.28
38,Kazan (Russia),1.27
39,Nizhniy Novgorod (Russia),1.26
40,Dublin (Ireland),1.23
41,Samara (Russia),1.16
42,Amsterdam (Netherlands),1.15
43,Rostov-on-Don (Russia),1.14
44,Cologne (Germany),1.12
45,Voronezh (Russia),1.07
46,Lille (France),1.06
47,Antwerp (Belgium),1.04
48,Oslo (Norway),1.04
49,Toulouse (France),1.02
