,Quarter,Profits in billion U.S. dollars
0,Q3 '20,2325.7
1,Q2 '20,1826.1
2,Q1 '20,2035.0
3,Q4 '19,2311.3
4,Q3 '19,2246.5
5,Q2 '19,2263.2
6,Q1 '19,2181.2
7,Q4 '18,2282.5
8,Q3 '18,2258.1
9,Q2 '18,2225.3
10,Q1 '18,2206.0
11,Q4 '17,2155.0
12,Q3 '17,2136.0
13,Q2 '17,2103.0
14,Q1 '17,2064.1
15,Q4 '16,2049.6
16,Q3 '16,2025.6
17,Q2 '16,1992.8
18,Q1 '16,2026.9
19,Q4 '15,1945.5
20,Q3 '15,2066.3
21,Q2 '15,2108.8
22,Q1 '15,2121.3
23,Q4 '14,2184.2
24,Q3 '14,2191.0
25,Q2 '14,2138.3
26,Q1 '14,1967.4
27,Q4 '13,2047.9
28,Q3 '13,2011.1
29,Q2 '13,2000.2
30,Q1 '13,1983.5
31,Q4 '12,1971.7
32,Q3 '12,1985.4
33,Q2 '12,2006.9
34,Q1 '12,2025.6
35,Q4 '11,1958.5
36,Q3 '11,1818.5
37,Q2 '11,1791.8
38,Q1 '11,1670.4
39,Q4 '10,1828.8
40,Q3 '10,1802.8
41,Q2 '10,1640.8
42,Q1 '10,1642.6
43,Q4 '09,1551.9
44,Q3 '09,1456.5
45,Q2 '09,1283.3
46,Q1 '09,1255.1
