,Response,Percentage of respondents
0,"Wellness programs, general",58%
1,Onsite seasonal flu vaccinations,60%
2,Annual health risk assessments,43%
3,Rewards or bonuses for completing certain health and wellness programs,38%
4,Smoking cessation program,39%
5,Health fairs,33%
6,Preventive programs specifically targeting employees with chronic health conditions,24%
7,Weight loss programs,29%
8,"Onsite health screening programs (ex: glucose, cholesterol, etc.)",31%
9,Company-organized fitness competitions/challenges,38%
10,Onsite stress management program,13%
