,business schools,Total 5-year MBA gain in U.S. dollars
0,"Stanford - Palo Alto, CA",89100
1,"Harvard - Boston, MA",83500
2,"Northwestern (Kellogg) - Evanston, IL",72700
3,"Columbia - New York, NY",71100
4,"Dartmouth (Tuck) - Hanover, NH",68400
5,"Chicago (Booth) - Chicago, IL",65000
6,"Pennsylvania (Wharton) - Philadelphia, PA",64900
7,"UC Berkeley (Haas) - Berkeley, CA",64200
8,"MIT (Sloan) - Cambridge, MA",63800
9,"Cornell (Johnson) - Ithaca, NY",63500
10,"Yale - New Haven, CT",61000
11,"Duke (Fuqua) - Durham, NC",60600
12,"UNC (Kenan-Flagler) - Chapel Hill, NC",59900
13,"Texas-Austin (McCombs) - Austin, TX",59300
14,"Michigan (Ross) - Ann Arbor, MI",58900
15,"Virginia (Darden) - Charlottesville, VA",56600
16,"UCLA (Anderson) - Los Angeles, CA",56500
17,"NYU (Stern) - New York, NY",55900
18,"Carnegie Mellon (Tepper) - Pittsburgh, PA",55400
19,"Indiana (Kelley) - Bloomington, IN",53800
