,Year,Gross domestic product in billion U.S. dollars
0,2024*,108.99
1,2023*,103.26
2,2022*,97.24
3,2021*,92.6
4,2020*,88.98
5,2019*,91.53
6,2018,105.9
7,2017,122.12
8,2016,101.12
9,2015,116.19
10,2014,145.71
11,2013,136.71
12,2012,128.05
13,2011,111.79
14,2010,83.8
15,2009,70.31
16,2008,88.54
17,2007,65.27
18,2006,52.38
19,2005,36.97
20,2004,23.55
21,2003,17.81
22,2002,15.29
23,2001,10.93
24,2000,11.17
25,1999,7.53
26,1998,7.96
27,1997,9.39
28,1996,7.99
29,1995,6.2
30,1994,4.97
31,1993,6.82
32,1992,3.4
33,1991,12.19
34,1990,12.57
35,1989,11.42
36,1988,9.82
37,1987,9.05
38,1986,7.92
39,1985,8.46
40,1984,6.86
