,London borough,Properties key
0,City of London and Westminster,37025
1,Camden,17476
2,Kensington and Chelsea,16107
3,Hillingdon,9428
4,Tower Hamlets,6593
5,Southwark,5082
6,Newham,4685
7,Lambeth,4465
8,Hounslow,3540
9,Hammersmith and Fulham,3527
10,Islington,3364
11,Croydon,2418
12,Brent,2152
13,Ealing,1824
14,Hackney,1743
15,Richmond upon Thames,1381
16,Barnet,1370
17,Wandsworth,1362
18,Greenwich,1277
19,Redbridge,1255
20,Kingston upon Thames,902
21,Harrow,746
22,Enfield,674
23,Waltham Forest,498
24,Merton,488
25,Bromley,486
26,Bexley,425
27,Barking and Dagenham,422
28,Havering,418
29,Lewisham,409
30,Haringey,217
31,Sutton,196
