,department of Colombia,Number of IPV cases
0,"Bogotá, D.C.",12063
1,Antioquia,5703
2,Cundinamarca,4109
3,Valle del Cauca,3808
4,Atlántico,2204
5,Santander,2065
6,Meta,2010
7,Tolima,1678
8,Boyacá,1341
9,Bolívar,1307
10,Huila,1272
11,Norte de Santander,1203
12,Nariño,1111
13,Magdalena,1062
14,Cauca,1057
15,Casanare,860
16,Risaralda,824
17,Cesar,769
18,Quindio,633
19,Sucre,630
20,Córdoba,606
21,Caldas,537
22,Arauca,482
23,La Guajira,385
24,Putumayo,341
25,Caquetá,317
26,Chocó,279
27,"San Andres, Providencia & Santa Catalina",131
28,Amazonas,120
29,Guainía,57
30,Guaviare,36
31,Vaupés,24
32,No information,2
