,international airport,Number of passengers in millions
0,"Copenhagen Kastrup, Denmark (CPH)",29.18
1,"Oslo, Norway (OSL)",27.48
2,"Stockholm Arlanda, Sweden (ARN)",26.62
3,"Helsinki Vantaa, Finland (HEL)",18.89
4,"Reykjavik Keflavik, Iceland",8.76
5,"Gothenburg Landvetter, Sweden (GOT)",6.75
6,"Bergen Flesland, Norway (BGO)",6.11
7,"Trondheim Værnes, Norway (TRD)",4.43
8,"Stavanger Sola, Norway (SVG)",4.18
9,"Billund, Denmark (BLL)",3.38
10,"Stockholm Bromma, Sweden (BMA)",2.53
11,"Tromsø, Norway (TOS)",2.27
12,"Malmö Sturup, Sweden (MMX)",2.18
13,"Stockholm Skavsta, Sweden (NYO)",2.13
14,"Sandefjord Torp, Norway (TRF)",1.97
15,"Bodø Airport, Norway (BOO)",1.83
16,"Aalborg, Denmark (AAL)",1.52
17,"Luleå, Sweden (LLA)",1.2
18,"Ålesund Vigra, Norway (AES)",1.08
19,"Umeå, Sweden (UME)",1.05
