,Year,Crude birth rate
0,2020,11.5
1,2015,12.4
2,2010,12.5
3,2005,11.4
4,2000,12.5
5,1995,13.2
6,1990,13.7
7,1985,12.8
8,1980,12.0
9,1975,13.5
10,1970,16.9
11,1965,18.3
12,1960,16.4
13,1955,15.1
14,1950,18.42
15,1945,16.39
16,1940,15.12
17,1935,15.08
18,1930,16.5
19,1925,18.94
20,1920,19.1
21,1915,21.77
22,1910,23.56
23,1905,25.27
24,1900,28.26
25,1895,30.59
26,1890,31.42
27,1885,33.48
28,1880,35.32
29,1875,35.51
30,1870,36.12
31,1865,36.28
32,1860,36.04
33,1855,35.94
34,1850,35.08
35,1845,35.54
36,1840,35.74
37,1835,35.76
38,1830,37.32
39,1825,40.62
40,1820,40.96
41,1815,40.74
42,1810,39.68
43,1805,39.34
44,1800,36.6
