,state of Mexico,Population in thousands
0,State of Mexico,3489.9
1,Mexico City,1761.3
2,Jalisco,1591.2
3,Veracruz,1379.3
4,Puebla,1328.9
5,Michoacán,995.1
6,Chiapas,961.1
7,Guanajuato,814.8
8,Nuevo León,689.6
9,Oaxaca,665.1
10,Baja California,615.1
11,Guerrero,500.1
12,Tamaulipas,440.0
13,Chihuahua,432.7
14,Hidalgo,431.6
15,Coahuila,405.7
16,Sinaloa,403.6
17,Sonora,386.8
18,Morelos,335.3
19,Tabasco,311.3
20,Yucatán,310.4
21,Quintana Roo,269.3
22,San Luis Potosí,253.6
23,Querétaro,248.5
24,Durango,237.8
25,Zacatecas,188.7
26,Tlaxcala,183.4
27,Nayarit,177.1
28,Aguascalientes,153.1
29,Campeche,111.4
30,Baja California Sur,90.2
31,Colima,82.7
