,player name and country it plays for,Market value in million euros
0,Lionel Messi (Argentina),180
1,Neymar (Brazil),180
2,Mohamed Salah (Egypt),150
3,Kevin De Bruyne (Belgium),150
4,Harry Kane (England),150
5,Kylian Mbappé (France),120
6,Eden Hazard (Belgium),110
7,Philippe Coutinho (Brazil),100
8,Dele Alli (England),100
9,Antoine Griezmann (France),100
10,Cristiano Ronaldo (Portugal),100
11,Paulo Dybala (Argentina),100
12,Paul Pogba (France),90
13,Raheem Sterling (England),90
14,Romelu Lukaku (Belgium),90
15,Robert Lewandowski (Poland),90
16,Toni Kroos (Germany),80
17,Roberto Firmino (Brazil),80
18,Christian Eriksen (Denmark),80
19,Ousmane Dembélé (France),80
20,Sergio Busquets (Spain),80
21,Sergio Agüero (Uruguay),80
22,Gabriel Jesus (Brazil),80
23,Marco Asensio (Spain),75
24,Isco (Spain),75
