,Year,Gross domestic product in billion U.S. dollars
0,2024*,499.31
1,2023*,456.22
2,2022*,416.84
3,2021*,380.86
4,2020*,347.99
5,2019*,317.47
6,2018,288.42
7,2017,262.08
8,2016,235.62
9,2015,208.32
10,2014,184.01
11,2013,161.3
12,2012,141.71
13,2011,131.08
14,2010,122.04
15,2009,108.9
16,2008,97.06
17,2007,85.6
18,2006,75.77
19,2005,70.92
20,2004,68.59
21,2003,63.2
22,2002,57.5
23,2001,54.76
24,2000,54.59
25,1999,53.98
26,1998,51.93
27,1997,50.34
28,1996,48.17
29,1995,45.92
30,1994,41.54
31,1993,38.23
32,1992,36.48
33,1991,36.47
34,1990,35.38
35,1989,34.05
36,1988,30.9
37,1987,28.63
38,1986,25.95
39,1985,24.76
40,1984,24.06
