,Month,Units sold
0,Dec 19,3
1,Nov 19,13
2,Oct 19,13
3,Sep 19,34
4,Aug 19,19
5,Jul 19,12
6,Jun 19,52
7,May 19,25
8,Apr 19,21
9,Mar 19,26
10,Feb 19,0
11,Jan 19,7
12,Dec 18,6
13,Nov 18,15
14,Oct 18,26
15,Sep 18,37
16,Aug 18,18
17,Jul 18,13
18,Jun 18,20
19,May 18,20
20,Apr 18,32
21,Mar 18,36
22,Feb 18,12
23,Jan 18,12
24,Dec 17,11
25,Nov 17,14
26,Oct 17,26
27,Sep 17,20
28,Aug 17,15
29,Jul 17,28
30,Jun 17,46
31,May 17,2
32,Apr 17,29
33,Mar 17,39
34,Feb 17,24
35,Jan 17,25
36,Dec 16,5
37,Nov 16,36
38,Oct 16,20
39,Sep 16,47
40,Aug 16,90
41,Jul 16,1
