,Quarter,Revenue in million U.S. dollars
0,Q3 '20,503.33
1,Q2 '20,451.69
2,Q1 '20,403.77
3,Q4 '19,404.46
4,Q3 '19,345.29
5,Q2 '19,306.5
6,Q1 '19,265.4
7,Q4 '18,248.69
8,Q3 '18,233.24
9,Q2 '18,217.04
10,Q1 '18,208.23
11,Q4 '17,233.28
12,Q3 '17,224.59
13,Q2 '17,209.23
14,Q1 '17,194.3
15,Q4 '16,190.54
16,Q3 '16,182.42
17,Q2 '16,181.74
18,Q1 '16,186.72
19,Q4 '15,185.77
20,Q3 '15,195.74
21,Q2 '15,199.92
22,Q1 '15,183.29
23,Q4 '14,192.55
24,Q3 '14,176.61
25,Q2 '14,153.23
26,Q1 '14,168.02
27,Q4 '13,176.36
28,Q3 '13,202.58
29,Q2 '13,230.74
30,Q1 '13,263.59
31,Q4 '12,311.17
