,player,Market value in million euros
0,Hakim Ziyech,25.0
1,Amine Harit,25.0
2,Medhi Benatia,23.0
3,Younès Belhanda,7.0
4,Youssef Aït Bennasser	Youssef Aït Bennasser,7.0
5,Romain Saïss,6.0
6,Achraf Hakimi,5.0
7,Sofyan Amrabat,4.5
8,Mehdi Carcela-González,3.5
9,Karim El Ahmadi,3.0
10,Nordin Amrabat,3.0
11,Bono,3.0
12,Fayçal Fajr,2.5
13,Nabil Dirar,2.0
14,Youssef En-Nesyri,1.8
15,Khalid Boutaïb,1.75
16,Ayoub El Kaabi,1.75
17,Moubarak Boussoufa,1.3
18,Ahmed Reda Tagnaouti,0.85
19,Aziz Bouhaddouz,0.8
