,Year,Inflation rate compared to previous year
0,2024*,4.33%
1,2023*,4.23%
2,2022*,4.18%
3,2021*,4.15%
4,2020*,4.18%
5,2019*,4.21%
6,2018,3.75%
7,2017,4.43%
8,2016,4.45%
9,2015,2.39%
10,2014,3.42%
11,2013,4.34%
12,2012,3.78%
13,2011,6.22%
14,2010,3.86%
15,2009,1.86%
16,2008,11.36%
17,2007,6.82%
18,2006,6.56%
19,2005,9.11%
20,2004,7.58%
21,2003,5.6%
22,2002,8.14%
23,2001,7.28%
24,2000,5.98%
25,1999,5.21%
26,1998,6.62%
27,1997,9.24%
28,1996,11.06%
29,1995,8.41%
30,1994,12.51%
31,1993,13.36%
32,1992,10.24%
33,1991,35.11%
34,1990,37.98%
35,1989,12.99%
36,1988,10.3%
37,1987,10.85%
38,1986,32.78%
39,1985,19.18%
40,1984,3.21%
