,University,Number of degrees awarded to today's billionaires
0,Harvard University,1830
1,Stanford University,775
2,University of Pennsylvania,744
3,Columbia University,516
4,New York University,456
5,Northwestern University,365
6,Yale University,358
7,Massachusetts Institute of Technology,351
8,The University of Texas at Austin,332
9,University of Chicago,326
10,University of Southern California,319
11,University of Notre Dame,316
12,Princeton University,309
13,Cornell University,299
14,"University of California, Berkeley",295
15,University of Michigan,281
16,"University of California, Los Angeles",277
17,University of Virginia,251
18,University of Miami,248
19,Boston University,203
