,metropolitan area,Unemployment rate
0,"Modesto, CA",18%
1,"Stockton, CA",17.2%
2,"Fresno, CA",16.7%
3,"Detroit - Warren - Livonia, MI",16.4%
4,"Bakersfield, CA",15.6%
5,"Riverside - San Bernardino - Ontario, CA",14.4%
6,"Youngstown - Warren - Boardman, OHPA",14.2%
7,"Grand Rapids - Wyoming, MI",12.7%
8,"Sarasota - Bradenton - Venice, FL",12.7%
9,"Sacramento, CA",12.7%
10,"Lansing - East Lansing, MI",12.6%
11,"Las Vegas - Paradise, NV",12.5%
12,"Toledo, OH",12.4%
13,"Reno - Sparks, NV",12.4%
14,"Tampa - St. Petersburg - Clearwater, FL",12.3%
