,State,"Property crime per 100,000 inhabitants"
0,District of Columbia,4373.8
1,New Mexico,3419.7
2,Alaska,3300.5
3,Louisiana,3276.0
4,South Carolina,3017.6
5,Washington,2946.2
6,Arkansas,2913.0
7,Oregon,2894.0
8,Oklahoma,2875.0
9,Hawaii,2870.3
10,Tennessee,2825.4
11,Alabama,2817.2
12,Arizona,2676.8
13,Colorado,2671.6
14,Missouri,2647.1
15,Kansas,2633.9
16,Georgia,2573.7
17,Montana,2496.3
18,North Carolina,2494.1
19,Nevada,2438.2
20,Mississippi,2403.0
21,California,2380.4
22,Utah,2377.5
23,Texas,2367.2
24,Delaware,2324.4
25,Florida,2281.8
26,United States,2199.5
27,Indiana,2179.3
28,Ohio,2177.1
29,Nebraska,2079.9
30,North Dakota,2040.2
31,Maryland,2033.3
32,Minnesota,1993.8
33,Kentucky,1962.6
34,Illinois,1932.8
35,Wyoming,1785.1
36,South Dakota,1728.7
37,Iowa,1691.5
38,Connecticut,1681.0
39,Virginia,1665.8
40,Rhode Island,1660.9
41,Michigan,1653.5
42,Wisconsin,1559.9
43,Pennsylvania,1489.9
44,West Virginia,1485.6
45,Idaho,1461.4
46,New York,1440.5
47,New Jersey,1404.9
48,Maine,1357.8
49,Vermont,1283.1
50,Massachusetts,1263.3
51,New Hampshire,1248.5
