,Baseball Team,Ticket price in U.S. dollars
0,Chicago Cubs,128
1,New York Yankees,121
2,Los Angeles Dodgers,112
3,St. Louis Cardinals,96
4,Boston Red Sox,94
5,Cleveland Indians,92
6,Washington Nationals,84
7,Oakland Athletics,76
8,Milwaukee Brewers,71
9,Philadelphia Phillies,68
10,Houston Astros,68
11,Colorado Rockies,67
12,Toronto Blue Jays**,66
13,Kansas City Royals,65
14,San Diego Padres,60
15,Seattle Mariners,60
16,Arizona Diamondbacks,59
17,Pittsburgh Pirates,58
18,Los Angeles Angels,58
19,Minnesota Twins,57
20,Atlanta Braves,56
21,Baltimore Orioles,56
22,Texas Rangers,54
23,San Francisco Giants,54
24,Chicago White Sox,53
25,Miami Marlins,51
26,Detroit Tigers,51
27,Cincinnati Reds,45
28,Tampa Bay Rays,43
29,New York Mets,37
