,Year,Inflation rate compared to previous year
0,2024*,2%
1,2023*,2%
2,2022*,2%
3,2021*,1.93%
4,2020*,1.47%
5,2019*,-0.01%
6,2018,0.76%
7,2017,0.88%
8,2016,0.74%
9,2015,0.14%
10,2014,2.62%
11,2013,4.03%
12,2012,5.7%
13,2011,5.88%
14,2010,3.49%
15,2009,2.41%
16,2008,8.76%
17,2007,4.17%
18,2006,2.46%
19,2005,2.86%
20,2004,0.48%
21,2003,0.06%
22,2002,1%
23,2001,0.31%
24,2000,1.45%
25,1999,1.3%
26,1998,0.63%
27,1997,1.26%
28,1996,1.26%
29,1995,0.94%
30,1994,1.33%
31,1993,0.48%
32,1992,1.75%
33,1991,1.55%
34,1990,0.77%
35,1989,0.12%
36,1988,0.36%
37,1987,1%
38,1986,-0.07%
39,1985,1.03%
40,1984,1.58%
