,Leading regional and local newspaper publishers,Number of titles
0,Johnston Press plc,213
1,Newsquest Media Group,185
2,Trinity Mirror plc,130
3,Tindle Newspapers Ltd,110
4,Local World,107
5,ARCHANT,66
6,Romanes Media Group,28
7,The Midland News Association Ltd,17
8,KM Group,16
9,NWN Media Ltd,14
10,CN Group Ltd,10
11,Bullivant Media Ltd,9
12,Champion Newspapers,8
13,D.C. Thomson & Co Ltd,6
14,Independent News & Media,6
15,Guiton Group,5
16,City AM,1
17,Evening Standard Ltd,1
18,Irish News Ltd,1
19,Associated Newspapers Ltd,1
