,State,Change in support
0,Nevada,43.9%
1,Oregon,43.4%
2,Colorado,42.2%
3,Washington,39%
4,Utah,38.2%
5,California,37.2%
6,South Carolina,34.2%
7,Tennessee,33.9%
8,Hawaii,32.6%
9,Georgia,31.3%
10,Idaho,29.9%
11,Florida,29.3%
12,Virginia,26%
13,Rhode Island,23.6%
14,"Washington, DC",22.9%
15,Alabama,20.6%
16,New Jersey,20.3%
17,Maryland,18.6%
18,North Carolina,18.6%
19,Minnesota,17.6%
20,Maine,17.2%
21,Texas,16.8%
22,South Dakota,15.3%
23,Massachusetts,15.1%
24,New Hampshire,13.7%
25,Ohio,12.4%
26,Indiana,11.1%
27,New York,10.8%
28,Michigan,10.7%
29,Pennsylvania,10.5%
30,Nebraska,9.5%
31,Delaware,9%
32,Montana,8.7%
33,Louisiana,8.5%
34,Vermont,7.5%
35,Arizona,5.7%
36,Kansas,5.7%
37,Illinois,4.8%
38,West Virginia,4.1%
39,Wyoming,3.4%
40,Arkansas,3.2%
41,Connecticut,2.4%
42,Missouri,2.3%
43,New Mexico,1.4%
44,Wisconsin,1%
45,Iowa,0.5%
46,Kentucky,-1.9%
47,Mississippi,-5.2%
48,North Dakota,-7.3%
49,Oklahoma,-18.6%
50,Alaska,-21.9%
