,Month,Units sold
0,Dec 19,5309
1,Nov 19,5839
2,Oct 19,6217
3,Sep 19,13745
4,Aug 19,2328
5,Jul 19,6191
6,Jun 19,9247
7,May 19,7754
8,Apr 19,6340
9,Mar 19,19962
10,Feb 19,2471
11,Jan 19,6969
12,Dec 18,5294
13,Nov 18,5710
14,Oct 18,6433
15,Sep 18,16827
16,Aug 18,2480
17,Jul 18,6312
18,Jun 18,8640
19,May 18,8699
20,Apr 18,7448
21,Mar 18,24561
22,Feb 18,2316
23,Jan 18,7917
24,Dec 17,7759
25,Nov 17,7823
26,Oct 17,8183
27,Sep 17,28810
28,Aug 17,3710
29,Jul 17,9786
30,Jun 17,13067
31,May 17,10627
32,Apr 17,8041
33,Mar 17,36939
34,Feb 17,5033
35,Jan 17,11378
36,Dec 16,10269
37,Nov 16,10269
38,Oct 16,11792
39,Sep 16,27807
40,Aug 16,3503
41,Jul 16,9944
42,Jun 16,13785
43,May 16,10925
44,Apr 16,10029
45,Mar 16,28489
46,Feb 16,4634
47,Jan 16,10720
48,Dec 15,9775
49,Nov 15,8803
50,Oct 15,10392
51,Sep 15,28473
52,Aug 15,3159
53,Jul 15,9912
54,Jun 15,15771
55,May 15,11561
56,Apr 15,9844
57,Mar 15,31026
58,Feb 15,4145
59,Jan 15,11076
60,Dec 14,8762
61,Nov 14,10752
62,Oct 14,11934
63,Sep 14,22550
64,Aug 14,2956
65,Jul 14,10455
