,Country,Currently confirmed*,Cumulative confirmed,Deaths,Recovered
0,Total,29921,80303,2948,47434
1,Hubei,28174,67217,2853,36208
2,Guangdong,242,1350,7,1101
3,Shangdong,241,758,6,511
4,Sichuan,141,538,3,394
5,Zhejiang,119,1213,1,1093
6,Hunan,108,1018,4,906
7,Beijing,118,414,8,288
8,Chongqing,101,576,6,469
9,Heilongjiang,101,480,13,366
10,Anhui,48,990,6,936
11,Jiangsu,69,631,0,562
12,Jiangxi,64,935,1,870
13,Shanghai,41,338,3,294
14,Guangxi,48,252,2,202
15,Hong Kong,61,100,2,37
16,Taiwan,29,42,1,12
