,Year,GDP per capita in U.S. dollars
0,2025*,5104.89
1,2024*,4923.15
2,2023*,4747.27
3,2022*,4574.51
4,2021*,4403.78
5,2020*,4124.86
6,2019*,4813.67
7,2018,4759.8
8,2017,4217.65
9,2016,3897.71
10,2015,5300.14
11,2014,7939.17
12,2013,7926.09
13,2012,7545.87
14,2011,7242.81
15,2010,5880.81
16,2009,4963.77
17,2008,5578.56
18,2007,3818.27
19,2006,2458.42
20,2005,1571.29
21,2004,1039.82
22,2003,879.86
23,2002,760.81
24,2001,674.78
25,2000,656.39
26,1999,576.06
27,1998,543.34
28,1997,508.04
29,1996,411.14
30,1995,316.23
