,Response,Share of responding businesses
0,Attracting customers,75%
1,Increasing revenue,61%
2,Maintaining profitability,45%
3,Retaining/recruiting skilled employees,30%
4,Tax laws and rules,21%
5,Uncertainty over economic conditions,19%
6,"Other government regulations (e.g., compliance, technical regulation, patents, reporting)",19%
7,Developing new products/innovation,15%
8,Securing financing for expansion,15%
9,Securing financing for business as usual,15%
10,Finding/working with suppliers,12%
11,Selling to foreign markets,6%
