,Country,Number of tests
0,Brazil,28600000
1,Colombia,8238961
2,Chile,6577973
3,Peru,5555591
4,Argentina,4919347
5,Mexico,3670800
6,Venezuela,2417898
7,Cuba,1513264
8,Panama,1332023
9,Dominican Republic,879918
10,Ecuador,755929
11,Uruguay,654191
12,Guatemala,642654
13,El Salvador,631180
14,Paraguay,565803
15,Costa Rica,495225
16,Bolivia,421980
17,Honduras,308510
18,Jamaica,139878
19,Trinidad and Tobago,72623
20,Barbados,70257
21,Belize,59978
22,Bahamas,52840
23,Haiti,42080
24,Guyana,38622
25,Suriname,27235
26,Saint Lucia,19814
27,Grenada,6781
28,Antigua and Barbuda,6651
29,Dominica,6618
30,Saint Kitts and Nevis,5593
