,Month,Index number of sales per week
0,Jun 20,226.9
1,May 20,224.5
2,Apr 20,184.9
3,Mar 20,156.0
4,Feb 20,147.7
5,Jan 20,152.3
6,Dec 19,148.5
7,Nov 19,145.9
8,Oct 19,148.9
9,Sep 19,149.0
10,Aug 19,151.1
11,Jul 19,157.3
12,Jun 19,146.5
13,May 19,146.1
14,Apr 19,146.1
15,Mar 19,144.6
16,Feb 19,141.8
17,Jan 19,137.6
18,Dec 18,132.0
19,Nov 18,134.9
20,Oct 18,131.4
21,Sep 18,131.3
22,Aug 18,131.8
23,Jul 18,130.0
24,Jun 18,127.3
25,May 18,128.9
26,Apr 18,121.9
27,Mar 18,118.6
28,Feb 18,122.1
29,Jan 18,118.8
30,Dec 17,119.0
31,Nov 17,122.7
32,Oct 17,120.9
33,Sep 17,124.2
34,Aug 17,117.4
35,Jul 17,112.3
36,Jun 17,115.1
37,May 17,111.7
38,Apr 17,113.7
39,Mar 17,108.7
40,Feb 17,109.6
41,Jan 17,109.9
42,Dec 16,110.3
43,Nov 16,111.9
44,Oct 16,109.2
45,Sep 16,105.8
46,Aug 16,101.9
47,Jul 16,98.6
48,Jun 16,97.4
49,May 16,100.2
50,Apr 16,92.0
51,Mar 16,92.8
52,Feb 16,89.2
53,Jan 16,90.2
