,Province,Population in million inhabitants
0,Guangdong,113.46
1,Shandong,100.47
2,Henan,96.05
3,Sichuan,83.41
4,Jiangsu,80.51
5,Hebei,75.56
6,Hunan,68.99
7,Anhui,63.24
8,Hubei,59.17
9,Zhejiang,57.37
10,Guangxi,49.26
11,Yunnan,48.3
12,Jiangxi,46.48
13,Liaoning,43.59
14,Fujian,39.41
15,Shaanxi,38.64
16,Heilongjiang,37.73
17,Shanxi,37.18
18,Guizhou,36.0
19,Chongqing,31.02
20,Jilin,27.04
21,Gansu,26.37
22,Inner Mongolia,25.34
23,Xinjiang,24.87
24,Shanghai,24.24
25,Beijing,21.54
26,Tianjin,15.6
27,Hainan,9.34
28,Ningxia,6.88
29,Qinghai,6.03
30,Tibet,3.44
