,Quarter,Quarterly revenue in thousand euros
0,Q2 2020,4499187
1,Q1 2020,4927336
2,Q4 2019,4888858
3,Q3 2019,5185130
4,Q2 2019,4834596
5,Q1 2019,5077839
6,Q4 2018,4823998
7,Q3 2018,4879625
8,Q2 2018,4734486
9,Q1 2018,4667532
10,Q4 2017,4727039
11,Q3 2017,4570273
12,Q2 2017,4387672
13,Q1 2017,4853532
14,Q4 2016,5530614
15,Q3 2016,5254920
16,Q2 2016,5558893
17,Q1 2016,5179440
18,Q4 2015,5222581
19,Q3 2015,4611312
20,Q2 2015,4766107
21,Q1 2015,4533829
22,Q4 2014,5064353
23,Q3 2014,5456466
24,Q2 2014,4781490
25,Q1 2014,4470561
