,Quarter,2013,2018*
0,"Hypermarkets, supermarkets and hard discounters",33.9%,34%
1,Food & beverage specialists and c-stores,16.6%,16.1%
2,Home improvement and gardening supplies retailers,8.2%,7.2%
3,"Clothing, footwear, accessories and luxury goods specialists",8%,8.1%
4,Furniture and homewares retailers,6.1%,5.9%
5,Electricals and electronics specialists,5.7%,5.6%
6,Online,5.5%,8.1%
7,Department stores,4.1%,3.7%
8,Others,3.3%,3.3%
9,Other specialist retailers,2.3%,2.1%
10,Drugstores and health and beauty stores,2.3%,2.3%
11,"Music, video, book, stationery and games specialists",2.1%,1.7%
12,"Value, variety stores and general merchandise retailers",1.8%,1.9%
