,province of China,Number of unemployed people
0,Sichuan,504000
1,Henan,494300
2,Liaoning,456300
3,Shandong,442200
4,Hubei,376300
5,Guangdong,368700
6,Hebei,359800
7,Jiangsu,350900
8,Heilongjiang,346900
9,Zhejiang,344300
10,Hunan,310900
11,Inner Mongolia,281300
12,Jiangxi,274900
13,Anhui,267700
14,Tianjin,260900
15,Jilin,239100
16,Shaanxi,238000
17,Yunnan,229300
18,Shanxi,212600
19,Guangxi,196600
20,Shanghai,193400
21,Chongqing,174600
22,Fujian,168100
23,Guizhou,153300
24,Gansu,108300
25,Xinjiang,83600
26,Beijing,73700
27,Hainan,55700
28,Ningxia,50500
29,Qinghai,31000
30,Tibet,21400
