,Year,Number of tests in thousands
0,01/03/21,91852.0
1,01/01/21,91509.13
2,12/31/20,91123.13
3,12/30/20,90648.89
4,12/29/20,90203.87
5,12/28/20,89808.87
6,12/27/20,89516.18
7,12/26/20,89099.6
8,12/25/20,88605.53
9,12/24/20,88094.38
10,12/23/20,87578.21
11,12/22/20,87098.06
12,12/21/20,86704.61
13,12/20/20,86391.68
14,12/19/20,85954.53
15,12/18/20,85431.43
16,12/17/20,84904.11
17,12/16/20,84364.81
18,12/15/20,83867.19
19,12/14/20,83439.51
20,12/13/20,83102.95
21,12/12/20,82639.39
22,12/11/20,82104.04
23,12/10/20,81564.37
24,12/09/20,81021.36
25,12/08/20,80522.24
26,12/07/20,80095.22
27,12/06/20,79771.77
28,12/05/20,79323.1
29,12/04/20,78777.84
30,12/03/20,78227.42
31,12/02/20,77693.65
32,12/01/20,77299.07
33,11/30/20,76755.9
34,11/29/20,76422.85
35,11/28/20,75948.01
36,11/27/20,75402.62
37,11/26/20,74814.91
38,11/25/20,74270.93
39,11/24/20,73765.15
40,11/23/20,73312.31
41,11/22/20,72949.6
42,11/21/20,72429.06
43,11/20/20,71838.29
44,11/19/20,71250.0
45,11/18/20,70653.23
46,11/17/20,70075.89
47,11/16/20,69550.66
48,11/15/20,69111.9
49,11/14/20,68577.0
50,11/13/20,67949.15
51,11/12/20,67347.35
52,11/11/20,66710.46
53,11/10/20,66118.7
54,11/09/20,65606.58
55,11/08/20,65209.36
56,11/07/20,64682.51
57,11/06/20,64092.16
58,11/05/20,63541.3
59,11/04/20,63016.99
60,11/03/20,62446.01
61,11/02/20,61954.57
62,11/01/20,61541.97
63,10/31/20,61029.75
64,10/30/20,60441.81
65,10/29/20,59866.56
66,10/28/20,59284.12
67,10/27/20,58730.81
68,10/26/20,58223.85
69,10/25/20,57821.26
70,10/24/20,57344.95
71,10/23/20,56794.64
72,10/22/20,56230.54
73,10/21/20,55683.93
74,10/20/20,55171.78
75,10/19/20,54675.1
76,10/18/20,54300.21
77,10/17/20,53850.51
78,10/16/20,53305.96
79,10/15/20,52782.1
80,10/14/20,52279.73
81,10/13/20,51801.25
82,10/12/20,51364.27
83,10/11/20,51191.31
84,10/10/20,50781.35
85,10/09/20,50305.24
86,10/08/20,49656.87
87,10/07/20,49148.95
88,10/06/20,48709.86
89,10/05/20,48337.99
90,10/04/20,48042.34
91,10/03/20,47683.83
92,10/02/20,47247.27
93,10/01/20,46823.88
94,09/30/20,46421.83
95,09/29/20,46037.66
96,09/28/20,45698.67
97,09/27/20,45442.77
98,09/26/20,45134.44
99,09/25/20,44755.36
100,09/24/20,44364.57
101,09/23/20,43990.41
102,09/22/20,43632.54
103,09/21/20,43341.53
104,09/20/20,43103.91
105,09/19/20,42821.89
106,09/18/20,42457.17
107,09/17/20,42095.25
108,09/16/20,41748.93
109,09/15/20,41424.01
110,09/14/20,41122.31
111,09/13/20,40903.55
112,09/12/20,40624.08
113,09/11/20,40268.9
114,09/10/20,39912.53
115,09/09/20,39575.31
116,09/08/20,39239.18
117,09/07/20,38960.76
118,09/06/20,38758.18
119,09/05/20,38488.13
120,09/04/20,38154.56
121,09/03/20,37818.37
122,09/02/20,37484.15
123,09/01/20,37176.83
124,08/31/20,36901.22
125,08/30/20,36696.38
126,08/29/20,36426.85
127,08/28/20,36086.18
128,08/27/20,35751.75
129,08/26/20,35423.78
130,08/25/20,35128.66
131,08/24/20,34883.22
132,08/23/20,34695.41
133,08/22/20,34447.56
134,08/20/20,33814.11
135,08/19/20,33509.27
136,08/18/20,33217.47
137,08/17/20,32968.76
138,08/16/20,32784.48
139,08/15/20,32533.82
140,08/14/20,32221.55
141,08/13/20,31903.06
142,08/12/20,31598.3
143,08/11/20,31307.76
144,08/10/20,31063.19
145,08/09/20,30886.16
146,08/08/20,30640.02
147,08/07/20,30341.34
148,08/06/20,30038.12
149,08/05/20,29716.91
150,08/04/20,29433.89
151,08/03/20,29201.86
152,08/02/20,29029.9
153,08/01/20,28793.26
154,07/31/20,28478.01
155,07/30/20,28161.5
156,07/29/20,27857.9
157,07/28/20,27569.6
158,07/27/20,27327.6
159,07/26/20,27142.0
160,07/25/20,26902.3
161,07/24/20,26610.6
162,07/23/20,26300.7
163,07/22/20,26000.9
164,07/21/20,25704.4
165,07/20/20,25449.2
166,07/19/20,25251.6
167,07/18/20,24991.7
168,07/17/20,24676.9
169,07/16/20,24364.6
170,07/15/20,24053.5
171,07/14/20,23754.6
172,07/13/20,23495.8
173,07/12/20,23292.6
174,07/11/20,23031.1
175,07/10/20,22708.4
176,07/09/20,22388.2
177,07/08/20,22079.3
178,07/07/20,21790.7
179,07/06/20,21537.8
180,07/05/20,21335.4
181,07/04/20,21069.5
182,07/03/20,20752.4
183,07/02/20,20451.1
184,07/01/20,20168.9
185,06/30/20,19852.2
186,06/29/20,19562.4
187,06/28/20,19334.4
188,06/27/20,19045.9
189,06/26/20,18707.9
190,06/25/20,18402.7
191,06/24/20,18115.8
192,06/23/20,17804.0
193,06/22/20,17522.8
194,06/21/20,17289.7
195,06/20/20,16998.5
196,06/19/20,16661.3
197,06/18/20,16322.0
198,06/17/20,15991.7
199,06/16/20,15679.7
200,06/15/20,15395.4
201,06/14/20,15161.2
202,06/13/20,14880.2
203,06/12/20,14574.1
204,06/11/20,14218.7
205,06/10/20,13875.1
206,06/09/20,13545.3
207,06/08/20,13254.7
208,06/07/20,13016.0
209,06/06/20,12721.5
210,06/05/20,12389.0
211,06/04/20,12053.8
212,06/03/20,11733.1
213,06/02/20,11426.0
214,06/01/20,11151.6
215,05/31/20,10923.1
