,Football player,Payroll in thousand U.S. dollars
0,Nicolas Lodeiro,2502.5
1,Raul Ruidiaz,2000.0
2,Victor Rodriguez,1087.5
3,Emanuel  Cecchini,789.0
4,Kim Kee-Hee,772.0
5,Roman Torres,740.0
6,Jordan Morris,619.6
7,Gustav Svensson,600.0
8,Kelvin Leerdam,600.0
9,Cristian Roldan,596.54
10,Brad Smith,549.09
11,Joevin Jones,528.67
12,Xavier Arreaga,500.85
13,Will Bruin,358.33
14,Stefan Frei,337.5
15,Harry Shipp,235.0
16,Daniel Leyva,89.87
17,Alfonso Ocampo-Chavez,85.75
18,Nouhou Tolo,84.0
19,Jordy Delem,70.88
20,Bryan Meredith,70.88
21,Saad Abdul-Salaam,70.25
22,Jonathan Campbell,70.25
23,Justin Dhillon,70.25
24,Luis  Silva,70.25
25,Trey Muse,65.0
26,Handwalla Bwana,57.23
27,Alex Roldan,57.23
