,State,Transfers to beneficiaries in million U.S. dollars
0,New York,3474.04
1,Florida,1927.0
2,California,1847.06
3,Texas,1636.59
4,Georgia,1207.77
5,Maryland,1201.68
6,Ohio,1153.93
7,Pennsylvania,1143.23
8,New Jersey,1105.0
9,Massachusetts,1104.22
10,Michigan,1071.64
11,Illinois,735.51
12,Oregon,730.14
13,North Carolina,710.2
14,Virginia,649.7
15,West Virginia,495.14
16,South Carolina,488.09
17,Tennessee,447.19
18,Rhode Island,397.32
19,Connecticut,372.3
20,Missouri,346.72
21,Indiana,312.22
22,Kentucky,283.61
23,Wisconsin,235.28
24,Arizona,230.36
25,Washington,215.78
26,Delaware,215.56
27,Louisiana,184.32
28,Colorado,166.46
29,Minnesota,153.19
30,South Dakota,129.75
31,New Hampshire,105.61
32,Arkansas,98.41
33,Iowa,92.86
34,Kansas,74.91
35,Oklahoma,67.55
36,Maine,63.2
37,Idaho,60.0
38,Nebraska,46.57
39,District of Columbia,44.5
40,New Mexico,43.11
41,Vermont,29.1
42,Montana,12.2
43,North Dakota,9.34
44,Wyoming,6.62
