,State,Number of stores
0,Total,212
1,Texas,37
2,Ohio,12
3,Georgia,12
4,Florida,9
5,Michigan,9
6,Pennsylvania,9
7,Tennessee,9
8,Indiana,8
9,Virginia,8
10,Arizona,7
11,Illinois,7
12,New York,6
13,Missouri,6
14,Wisconsin,5
15,North Carolina,5
16,Utah,5
17,Alabama,5
18,Louisiana,4
19,Kentucky,4
20,Colorado,4
21,Maryland,4
22,New Jersey,4
23,Oklahoma,3
24,Mississippi,3
25,Iowa,3
26,California,3
27,Washington,3
28,Massachesetts,2
29,Kansas,2
30,Minnesota,2
31,Arkansas,2
32,South Carolina,2
33,Nebraska,2
34,Rhode Island,1
35,South Dakota,1
36,Nevada,1
37,Connecticut,1
38,Idaho,1
39,New Mexico,1
