,Month,Market share
0,Dec 20,5.49%
1,Nov 20,6.88%
2,Oct 20,5.88%
3,Sep 20,5.98%
4,Aug 20,5.82%
5,Jul 20,5.59%
6,Jun 20,6.26%
7,May 20,7.33%
8,Apr 20,11.09%
9,Mar 20,4.9%
10,Feb 20,6.45%
11,Jan 20,6.19%
12,Dec 19,4.17%
13,Nov 19,6.63%
14,Oct 19,4.19%
15,Sep 19,7.98%
16,Aug 19,5.25%
17,Jul 19,6.61%
18,Jun 19,6.96%
19,May 19,7.33%
20,Apr 19,6.61%
21,Mar 19,8.25%
22,Feb 19,5.98%
23,Jan 19,7.61%
24,Dec 18,8.78%
25,Nov 18,7.29%
26,Oct 18,6.14%
27,Sep 18,8.51%
28,Aug 18,5.4%
29,Jul 18,7.19%
30,Jun 18,7.75%
31,May 18,7.26%
32,Apr 18,6.68%
33,Mar 18,7.81%
34,Feb 18,6.01%
35,Jan 18,7.73%
36,Dec 17,8.72%
37,Nov 17,6.32%
38,Oct 17,6.16%
39,Sep 17,7.29%
40,Aug 17,8.74%
41,Jul 17,7.12%
42,Jun 17,8.62%
43,May 17,7.54%
44,Apr 17,7.06%
45,Mar 17,8.28%
46,Feb 17,7.58%
47,Jan 17,7.95%
