,Industry,Average salary in SEK
0,Financial institutions and insurance companies,51700
1,Information and communication companies,45100
2,"Professional, scientific and technical companies",42800
3,"Electricity, gas, steam and hot water plants",42600
4,Mines and quarries,39900
5,Real estate companies,37200
6,Public authorities and national defence,37000
7,Manufacturing industry,36600
8,Construction industry,35500
9,Trade; repair establishments for motor vehicles and motorcycles,34100
10,"Water works; sewage plants, waste-disposal plants",33800
11,Other service companies,32200
12,Human health and social work establishments,31800
13,Educational establishments,31800
14,Transport and storage companies,31300
15,Administrative and support service companies,30100
16,"Establishments for culture, entertainment and recreation",29800
17,"Companies in agriculture, forestry and fishing",28200
18,Hotels and restaurants,26100
