,Month,Index number of sales per week
0,Jun 20,97.9
1,May 20,62.6
2,Apr 20,50.5
3,Mar 20,83.9
4,Feb 20,118.9
5,Jan 20,119.5
6,Dec 19,118.3
7,Nov 19,119.0
8,Oct 19,117.0
9,Sep 19,119.1
10,Aug 19,124.5
11,Jul 19,120.6
12,Jun 19,117.5
13,May 19,114.5
14,Apr 19,100.6
15,Mar 19,111.7
16,Feb 19,109.2
17,Jan 19,111.9
18,Dec 18,98.1
19,Nov 18,122.8
20,Oct 18,103.9
21,Sep 18,106.1
22,Aug 18,98.7
23,Jul 18,91.5
24,Jun 18,102.2
25,May 18,101.8
26,Apr 18,99.3
27,Mar 18,95.5
28,Feb 18,106.1
29,Jan 18,100.0
30,Dec 17,102.6
31,Nov 17,101.6
32,Oct 17,102.2
33,Sep 17,96.1
34,Aug 17,100.1
35,Jul 17,96.3
36,Jun 17,95.5
37,May 17,101.2
38,Apr 17,102.8
39,Mar 17,82.3
40,Feb 17,96.6
41,Jan 17,96.2
42,Dec 16,99.6
43,Nov 16,99.4
44,Oct 16,100.5
45,Sep 16,102.5
46,Aug 16,97.2
47,July 16,103.5
48,June 16,103.9
49,May 16,99.3
50,April 16,102.2
51,Mar 16,96.5
52,Feb 16,96.1
53,Jan 16,98.7
