,Country,GDP per capita in U.S. dollars
0,Bahamas,32933.5
1,Puerto Rico,32873.7
2,St. Kitts and Nevis,19896.5
3,Barbados,18148.2
4,Antigua and Barbuda,17790.3
5,Trinidad and Tobago,17276.5
6,Uruguay,16190.1
7,Panama,15731.0
8,Chile,14896.5
9,Costa Rica,12238.4
10,St. Lucia,11611.4
11,Grenada,10965.5
12,Argentina,10006.1
13,Mexico,9863.1
14,Regional average,8847.4
15,Brazil,8717.2
16,Dominica,8300.4
17,Dominican Republic,8282.1
18,St. Vincent and the Grenadines,7463.5
19,Peru,6977.7
20,Suriname,6854.9
21,Colombia,6432.4
22,Ecuador,6183.8
23,Jamaica,5582.3
24,Guyana,5468.4
25,Paraguay,5414.8
26,Belize,4815.2
27,Guatemala,4620.0
28,El Salvador,4187.3
29,Bolivia,3552.1
30,Honduras,2574.9
31,Nicaragua,1912.9
32,Haiti,754.6
