,Year,Export volume in billion U.S. dollars
0,2019,106.63
1,2018,120.15
2,2017,129.8
3,2016,115.59
4,2015,115.87
5,2014,123.66
6,2013,121.75
7,2012,110.52
8,2011,104.12
9,2010,91.91
10,2009,69.5
11,2008,69.73
12,2007,62.94
13,2006,53.67
14,2005,41.19
15,2004,34.43
16,2003,28.37
17,2002,22.13
18,2001,19.18
19,2000,16.19
20,1999,13.11
21,1998,14.24
22,1997,12.86
23,1996,11.99
24,1995,11.75
25,1994,9.28
26,1993,8.76
27,1992,7.42
28,1991,6.28
29,1990,4.81
30,1989,5.76
31,1988,5.02
32,1987,3.5
33,1986,3.11
34,1985,3.86
