,Search query,Year-on-year growth of search phrase volume
0,Gluten free foods,140%
1,Vegan ice cream,109%
2,Vegan chocolate,86%
3,Organic apple cider vinegar,86%
4,Halal meat,85%
5,Vegan cheese,80%
6,Best weight loss shakes,78%
7,Vegan mac and cheese,69%
8,Gluten intolerance,69%
9,Lactose free milk,65%
10,Weight loss shakes,65%
11,Dairy,50%
12,Lactose intolerant,46%
13,Kosher definition,29%
14,Organic,27%
15,Symptoms of gluten intolerance,24%
16,Gluten free bread,23%
17,Low glycemic index foods,21%
18,Gluten free flour,17%
19,Does rice have gluten,17%
20,Is quinoa gluten free,16%
21,Gluten free pasta,15%
22,Brown sugar substitute,12%
23,Bland diet,8%
24,Turbinado sugar,6%
25,Renal diet,6%
26,Halal,3%
27,Bone broth diet,0%
28,Gluten intolerance symptoms,-1%
29,Glycemic index,-2%
30,Organic coconut oil,-4%
31,Sugar free gummy bears,-6%
32,Lactose intolerance,-7%
33,Alkaline foods,-10%
34,Paleo mayo,-13%
35,Gluten free diet,-14%
36,Kosher,-21%
37,Organic food,-30%
