,States Of Brazil,"Number of femicides per 100,000 women"
0,Acre,2.5
1,Alagoas,2.5
2,Mato Grosso,2.3
3,Mato Grosso do Sul,2.1
4,Federal District,2.1
5,Roraima,2.0
6,Sergipe,1.8
7,Paraíba,1.8
8,Rio Grande do Sul,1.7
9,Piauí,1.7
10,Amapá,1.7
11,Santa Catarina,1.6
12,Espírito Santo,1.6
13,Paraná,1.5
14,Maranhão,1.4
15,Bahia,1.3
16,Minas Gerais,1.3
17,Rio Grande do Norte,1.2
18,Pernambuco,1.1
19,Goiás,1.1
20,Pará,1.1
21,Rio de Janeiro,0.9
22,Rondônia,0.8
23,São Paulo,0.8
24,Ceará,0.7
25,Amazonas,0.6
26,Tocantins,0.6
