,shopping app,Mobile reach
0,Amazon (main),80.64%
1,Walmart (main),46.08%
2,eBay (main),33.28%
3,Ibotta,25.2%
4,Target (main),24.31%
5,Groupon (main),18.75%
6,Etsy,17.21%
7,The Home Depot,16.13%
8,Wish (main),14.81%
9,Best Buy (main),14.01%
10,shopkick,12.72%
11,KOHL's,12.47%
12,Walgreens (main),12.34%
13,Ticketmaster,10.79%
14,Domino's,9.85%
15,Wayfair,9.76%
16,Macy's (main),9.66%
17,Coupons.com,9.53%
18,Lowe's,9.31%
19,Kroger,9.18%
20,Craigslist,9.14%
21,Ebates Cash Back & Coupons,8.26%
22,Fetch Rewards App,7.49%
23,DoorDash - Food Delivery,7.41%
24,RetailMeNot,7.3%
25,Sam's Club (main),7.07%
26,Checkout 51,6.98%
27,QVC,6.89%
28,Poshmark,6.83%
29,Costco,6.6%
