,Year,Gross domestic product in billion international dollars
0,2021*,369.93
1,2020*,345.46
2,2019,358.87
3,2018,352.49
4,2017,339.04
5,2016,327.6
6,2015,317.47
7,2014,303.12
8,2013,286.22
9,2012,269.4
10,2011,252.5
11,2010,218.15
12,2009,182.54
13,2008,161.81
14,2007,134.9
15,2006,111.34
16,2005,85.66
17,2004,77.28
18,2003,63.12
19,2002,59.75
20,2001,54.88
21,2000,51.68
22,1999,46.8
23,1998,44.24
24,1997,39.33
25,1996,29.74
26,1995,27.98
27,1994,26.76
28,1993,25.84
29,1992,25.58
30,1991,22.46
31,1990,22.1
32,1989,24.95
33,1988,22.8
34,1987,21.04
35,1986,20.35
36,1985,19.23
37,1984,21.44
