,Hospital (Location),Revenue in billion U.S. dollars
0,University of Pittsburgh Medical Center Presbyterian,12.21
1,The Cleveland Clinic,11.63
2,Cedars-Sinai Medical Center (Los Angeles),10.59
3,Florida Hospital Orlando,10.17
4,Stanford (Calif.) Hospital,9.41
5,New York-Presbyterian Hospital/Weill Cornell Medical Center (New York City),8.91
6,Yale-New Haven (Conn.) Hospital,8.15
7,Hospital of the University of Pennsylvania (Philadelphia),7.97
8,"Montefiore Medical Center-Moses Division Hospital (Bronx, N.Y.)",7.68
9,University of California San Francisco Medical Center at Parnassus,7.67
